DEBUT!!!
DEBUT!!!
38.38,1.60
5.90,0.77
6.48,0.69
10.46,0.42
0.20,0.28
47.47,1.05
5.71,0.75
47.86,0.63
19.19,0.69
6.82,0.63
0.20,0.38
40.36,0.66
0.20,0.10
14.20,0.47
28.72,0.41
32.96,0.58
0.20,0.31
39.28,0.44
0.20,0.08
41.28,0.41
22.95,0.44
43.00,0.43
9.65,0.23
0.20,0.26
0.20,0.32
1.31,0.29
30.62,0.46
0.20,0.20
11.67,0.40
9.54,0.28
0.20,0.29
0.20,0.29
0.20,0.16
12.47,0.52
25.88,0.49
8.34,0.30
15.28,0.22
0.20,0.39
0.20,0.29
48.10,0.47
24.28,0.49
0.20,0.21
2.13,0.23
0.20,0.26
0.20,0.24
8.93,0.57
0.20,0.37
0.20,0.22
0.20,0.30
0.20,0.27
15.35,0.31
0.20,0.08
0.20,0.23
0.20,0.31
0.20,0.37
8.37,0.42
0.20,0.09
19.78,0.43
16.01,0.25
0.20,0.19
47.77,0.37
16.31,0.46
0.20,0.24
0.20,0.16
4.63,0.26
6.64,0.18
0.20,0.16
19.29,0.74
0.20,0.22
0.20,0.24
9.05,0.55
10.69,0.36
10.38,0.31
0.20,0.22
0.20,0.28
10.21,0.42
22.35,0.39
0.20,0.26
0.20,0.15
0.20,0.10
0.20,0.12
0.20,0.36
0.20,0.12
19.86,0.42
0.20,0.16
0.20,0.12
14.91,0.20
0.20,0.19
3.19,0.30
7.17,0.33
0.20,0.20
35.32,0.54
5.13,0.45
0.20,0.16
12.48,0.31
0.20,0.34
9.21,0.50
49.33,0.63
0.20,0.35
18.58,0.35
0.20,0.24
6.67,0.37
9.56,0.32
12.65,0.32
0.20,0.18
6.19,0.31
6.69,0.28
14.89,0.29
0.20,0.26
0.20,0.17
0.20,0.31
0.20,0.25
0.20,0.09
10.72,0.38
15.47,0.25
0.20,0.13
0.20,0.21
0.20,0.15
0.20,0.10
2.12,0.34
0.20,0.13
5.66,0.42
0.20,0.10
0.20,0.12
12.14,0.22
5.99,0.17
0.20,0.22
0.20,0.32
0.20,0.10
13.71,0.27
7.50,0.33
0.20,0.09
0.20,0.27
8.84,0.39
16.05,0.39
26.85,0.38
9.79,0.25
0.20,0.14
0.20,0.08
12.77,0.34
0.20,0.15
0.20,0.12
0.20,0.14
0.20,0.09
0.20,0.13
0.20,0.13
0.20,0.10
0.20,0.25
0.20,0.21
0.20,0.10
11.30,0.36
10.97,0.25
0.20,0.20
0.20,0.10
0.20,0.37
0.20,0.21
0.20,0.10
0.20,0.15
0.20,0.19
13.45,0.20
0.20,0.21
0.20,0.25
0.20,0.23
0.20,0.18
0.20,0.24
18.70,0.18
0.20,0.21
6.92,0.31
10.85,0.24
0.20,0.16
0.20,0.17
0.20,0.13
0.20,0.28
0.20,0.09
6.14,0.33
0.20,0.16
0.20,0.18
26.77,0.37
0.20,0.31
0.20,0.15
0.20,0.09
7.36,0.39
